,Convention on Biological Diversity,United Nations Framework Convention on Climate Change,Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Montreal Protocol on Substances that Deplete the Ozone Layer,Convention concerning the Protection of the World Cultural and Natural Heritage,Agreement on the Conservation of European Bats,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Vienna Convention for the Protection of the Ozone Layer,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention on the Conservation of Migratory Species of Wild Animals,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region
"Oct 29, 2001 Impact of single projects on emissions in the commitment period","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Other matters relating to communications from Parties not included in Annex I to the Convention","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Request from a group of countries of Central Asia, Caucasus, Albania and Moldova countries on their status ","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Matters relating to Article 3, paragraph 14, of the Kyoto Protocol","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Income and budget performance in the biennium 20002001 and arrangements for administrative support to the C","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Oct 29, 2001 Modalities and procedures for a clean development mechanism, as defined in Article 12 of the Kyoto Protocol","(0.29032258064516125, 'iv ii iii iv vi')","(0.28, 'mutatis mutandis i i fccc cp add page')","(0.2702702702702703, 'page fccc cp add page fccc cp add page iso')","(0.27083333333333337, 'mutatis mutandis i i fccc cp add page')","(0.234375, 'fccc cp add january russian original english ii ii')","(0.2777777777777778, 'add page cmp mutatis mutandis i')","(0.2321428571428571, 'distr general fccc cp add january russian original english ii ii ge fccc cp')","(0.25609756097560976, 'page cmp mutatis mutandis i i fccc cp add page fccc cp add')","(0.2833333333333333, 'page fccc cp add page cmp mutatis mutandis')","(0.2384615384615385, 'distr general fccc cp add january russian original english ii ii ge fccc cp add page')","(0.2558139534883721, 'add january russian original english ii ii ge fccc cp add page i i i fccc')","(0.25, 'iii iv vi fccc cp add page')","(0.26027397260273977, 'mutatis mutandis i i fccc cp add page fccc')","(0.25757575757575757, 'ii ge fccc cp add page i i i fccc')","(0.2592592592592593, 'cp add page cmp mutatis mutandis i i')","(0.24, 'russian original english ii ii ge fccc cp add page')"
"Oct 29, 2001 Guidelines for review under Article 8 of the Kyoto Protocol","(0.29032258064516125, 'page ii iii iv vi')","(0.28, 'i d i i fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iii')","(0.3125, 'sbsta fccc sbsta fccc cp add page i')","(0.25, 'vii i c i i fccc cp add page')","(0.2222222222222222, 'ge fccc cp add page i')","(0.2232142857142857, 'distr general fccc cp add january russian original english iii ii ge fccc cp')","(0.24390243902439024, 'page i vii fccc cp add page fccc sbsta fccc sbsta fccc cp')","(0.25, 'page fccc sbsta fccc sbsta fccc cp add')","(0.2384615384615385, 'fccc cp add page i i i fccc cp add page ne n i i i')","(0.26356589147286824, 'add january russian original english iii ii ge fccc cp add page i ii i fccc')","(0.275, 'vii vii v fccc cp add page')","(0.2465753424657534, 'page i vii fccc cp add page fccc sbsta')","(0.25757575757575757, 'ii ge fccc cp add page i ii i fccc')","(0.2407407407407407, 'vi vii iv v fccc cp add page')","(0.22666666666666668, 'russian original english iii ii ge fccc cp add page')"
"Oct 29, 2001 Land use, landuse change and forestry","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Third Assessment Report of the Intergovernmental Panel, on Climate Change","(0.25806451612903225, 'cp ii ii ii c')","(0.28, 'cp add page cp fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english iv')","(0.22916666666666663, 'cp add page cp fccc cp add page')","(0.25, 'cp cp cp i i fccc cp add page')","(0.25, 'page fccc cp add page a')","(0.2410714285714286, 'distr general fccc cp add january russian original english iv iii cp cp ii')","(0.25609756097560976, 'page fccc cp add page fccc cp add page fccc sbi fccc sbi')","(0.23333333333333328, 'fccc cp add january russian original english iv')","(0.2384615384615385, 'distr general fccc cp add january russian original english iv iii cp cp ii cp ge')","(0.2325581395348837, 'add january russian original english iv iii cp cp ii cp ge fccc cp add page')","(0.25, 'ii cp ge fccc cp add page')","(0.23287671232876717, 'cp add page fccc cp add page a i')","(0.25757575757575757, 'russian original english iv iii cp cp ii cp ge')","(0.2222222222222222, 'add january russian original english iv iii cp')","(0.24, 'russian original english iv iii cp cp ii cp ge')"
"Sep 20, 2003 Arrangements by the Executive Director of the United Nations Environment Programme and the DirectorGeneral ","(0.4418604651162791, 'convention agreed executive director united')","(0.41428571428571426, 'united nations environment programme director general food agriculture')","(0.32608695652173914, 'secretariat functions convention based existing arrangements conference parties approved new')","(0.295774647887324, 'conference parties approved new arrangements invites executive director')","(0.41860465116279066, 'convention conference parties noting appreciation excellent cooperation united nations')","(0.4385964912280702, 'arrangements conference parties approved new arrangements')","(0.46564885496183206, 'programme operation prior informed consent procedure intergovernmental negotiation process interim period adoption convention entry')","(0.34090909090909094, 'arrangements performance secretariat functions possibly based elements earlier arrangements present conference parties consideration')","(0.34782608695652173, 'approved conference parties invites executive director united nations')","(0.3453237410071942, 'secretariat that provided paragraph article convention agreed executive director united nations environment programme director general food')","(0.35862068965517246, 'united nations continue perform secretariat functions convention based existing arrangements conference parties approved new arrangements invites')","(0.38983050847457623, 'article convention agreed executive director united nations')","(0.33720930232558144, 'convention conference parties noting appreciation excellent cooperation united nations')","(0.37755102040816324, 'convention conference parties noting appreciation excellent cooperation united nations environment')","(0.41428571428571426, 'conference parties consideration approval possible second meeting also')","(0.4555555555555556, 'article convention agreed executive director united nations environment programme director')"
"Oct 29, 2001 The Marrakesh Ministerial Declaration","(0.2647058823529411, 'january russian original english i')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january russian original english i')","(0.29166666666666663, 'page c fccc sbsta fccc sbsta inf fccc')","(0.234375, 'fccc cp add january russian original english i ii')","(0.25, 'a res s fccc cp add')","(0.2321428571428571, 'distr general fccc cp add january russian original english i ii ge fccc cp')","(0.2682926829268293, 'page fccc cp add page cp fccc sb fccc sb add fccc sbsta')","(0.23333333333333328, 'fccc cp add january russian original english i')","(0.2384615384615385, 'distr general fccc cp add january russian original english i ii ge fccc cp add page')","(0.24806201550387597, 'add january russian original english i ii ge fccc cp add page p fccc cp add')","(0.25, 'ii cp ii fccc cp add page')","(0.23287671232876717, 'russian original english i ii ge fccc cp add')","(0.25757575757575757, 'ii iii fccc cp add page fccc cp add fccc')","(0.2222222222222222, 'add january russian original english i ii ge')","(0.24, 'russian original english i ii ge fccc cp add page')"
"Oct 29, 2001 Principles, nature and scope of the mechanisms pursuant to Articles 6, 12 and 17 of the Kyoto Protocol Deci","(0.29032258064516125, 'iv ii iii iv vi')","(0.28, 'mutatis mutandis i i fccc cp add page')","(0.2702702702702703, 'page fccc cp add page fccc cp add page iso')","(0.27083333333333337, 'mutatis mutandis i i fccc cp add page')","(0.234375, 'fccc cp add january russian original english ii ii')","(0.2777777777777778, 'add page cmp mutatis mutandis i')","(0.2321428571428571, 'distr general fccc cp add january russian original english ii ii ge fccc cp')","(0.25609756097560976, 'page cmp mutatis mutandis i i fccc cp add page fccc cp add')","(0.2833333333333333, 'page fccc cp add page cmp mutatis mutandis')","(0.2384615384615385, 'distr general fccc cp add january russian original english ii ii ge fccc cp add page')","(0.2558139534883721, 'add january russian original english ii ii ge fccc cp add page i i i fccc')","(0.25, 'iii iv vi fccc cp add page')","(0.26027397260273977, 'mutatis mutandis i i fccc cp add page fccc')","(0.25757575757575757, 'ii ge fccc cp add page i i i fccc')","(0.2592592592592593, 'cp add page cmp mutatis mutandis i i')","(0.24, 'russian original english ii ii ge fccc cp add page')"
"Sep 20, 2003 Physical location of the secretariat","(0.4130434782608695, 'convention noting paragraph article convention')","(0.3857142857142857, 'united nations headquarters agreements already force italy switzerland')","(0.3152173913043478, 'united nations consult authorities host governments regarding practical arrangements hosting')","(0.31746031746031744, 'conference parties noting agreement cities geneva rome location')","(0.36046511627906974, 'convention noting paragraph article convention expresses sincere gratitude governments')","(0.44897959183673475, 'agreement cities geneva rome location secretariat')","(0.32835820895522383, 'secretariat rotterdam convention noting paragraph article convention expresses sincere gratitude governments germany italy switzerland')","(0.3302752293577982, 'arrangements hosting secretariat geneva rome notes united nations headquarters agreements already force italy')","(0.3484848484848485, 'noting agreement cities geneva rome location secretariat rotterdam')","(0.33571428571428574, 'accept offer governments italy switzerland host jointly secretariat invites executive director united nations environment programme director')","(0.31999999999999995, 'secretariat rotterdam convention noting paragraph article convention expresses sincere gratitude governments germany italy switzerland generous offers')","(0.3970588235294118, 'secretariat convention also expresses appreciation governments italy')","(0.4, 'convention expresses sincere gratitude governments germany italy switzerland generous')","(0.3695652173913043, 'convention expresses sincere gratitude governments germany italy switzerland generous offers')","(0.3918918918918919, 'convention noting paragraph article convention expresses sincere gratitude')","(0.3913043478260869, 'jointly secretariat invites executive director united nations environment programme director')"
"Oct 29, 2001 Guidelines for the implementation of Article 6 of the Kyoto Protocol","(0.2571428571428571, 'january chinese original english cp')","(0.28, 'cp add page c fccc cp add page')","(0.2567567567567568, 'distr general fccc cp add january chinese original english cp')","(0.25, 'page g cp b fccc cp add page')","(0.234375, 'chinese original english cp cp cp cp cp ge')","(0.25, 'page cp cmp e cp b')","(0.2321428571428571, 'add page iso cmp cmp fccc cp add page e fccc cp add page')","(0.24390243902439024, 'page fccc cp add page b fccc cp add page fccc cp add')","(0.23333333333333328, 'page iso fccc cp add page cmp iso')","(0.22307692307692306, 'distr general fccc cp add january chinese original english cp cp cp cp cp ge fccc')","(0.24031007751937983, 'page iso cmp cmp fccc cp add page e fccc cp add page iso cmp fccc')","(0.22499999999999998, 'cp cp ge fccc cp add page')","(0.23287671232876717, 'chinese original english cp cp cp cp cp ge')","(0.2727272727272727, 'chinese original english cp cp cp cp cp ge fccc')","(0.2222222222222222, 'chinese original english cp cp cp cp cp')","(0.22666666666666668, 'add january chinese original english cp cp cp cp cp')"
